fg_phenotype	fg_link	ukbb_phenotype	ukbb_link
C3_ANUS_ANALCANAL	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_ANUS_ANALCANAL.gz	C21	gs://pan-ukbb-refinery/lifted/icd10-C21-both_sexes.tsv.bgz.lifted.gz
		191.11	gs://pan-ukbb-refinery/lifted/phecode-191.11-both_sexes.tsv.bgz.lifted.gz
C3_BILIARY_TRACT	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_BILIARY_TRACT.gz	C24	gs://pan-ukbb-refinery/lifted/icd10-C24-both_sexes.tsv.bgz.lifted.gz
C3_BLADDER	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_BLADDER.gz	189.21	gs://pan-ukbb-refinery/lifted/phecode-189.21-both_sexes.tsv.bgz.lifted.gz
C3_BONE_CARTILAGE	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_BONE_CARTILAGE.gz	170.1	gs://pan-ukbb-refinery/lifted/phecode-170.1-both_sexes.tsv.bgz.lifted.gz
		C41	gs://pan-ukbb-refinery/lifted/icd10-C41-both_sexes.tsv.bgz.lifted.gz
C3_BRAIN	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_BRAIN.gz	191.11	gs://pan-ukbb-refinery/lifted/phecode-191.11-both_sexes.tsv.bgz.lifted.gz
C3_BREAST	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_BREAST.gz	174.11	gs://pan-ukbb-refinery/lifted/phecode-174.11-females.tsv.bgz.lifted.gz
C3_BREAST_HER2NEG	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_BREAST_HER2NEG.gz	174.11	gs://pan-ukbb-refinery/lifted/phecode-174.11-females.tsv.bgz.lifted.gz
		174.11	gs://pan-ukbb-refinery/lifted/phecode-174.11-females.tsv.bgz.lifted.gz
C3_BREAST_HERNEG	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_BREAST_HERNEG.gz	174.11	gs://pan-ukbb-refinery/lifted/phecode-174.11-females.tsv.bgz.lifted.gz
C3_BREAST_HERPLUS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_BREAST_HERPLUS.gz	174.11	gs://pan-ukbb-refinery/lifted/phecode-174.11-females.tsv.bgz.lifted.gz
C3_BRONCHUS_LUNG	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_BRONCHUS_LUNG.gz	C34	gs://pan-ukbb-refinery/lifted/icd10-C34-both_sexes.tsv.bgz.lifted.gz
C3_CERVIX_UTERI	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_CERVIX_UTERI.gz	180.1	gs://pan-ukbb-refinery/lifted/phecode-180.1-females.tsv.bgz.lifted.gz
C3_CLL	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_CLL.gz	204.1	gs://pan-ukbb-refinery/lifted/phecode-204.1-both_sexes.tsv.bgz.lifted.gz
		C92	gs://pan-ukbb-refinery/lifted/icd10-C92-both_sexes.tsv.bgz.lifted.gz
C3_COLON	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_COLON.gz	C18	gs://pan-ukbb-refinery/lifted/icd10-C18-both_sexes.tsv.bgz.lifted.gz
C3_COLON_ADENO	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_COLON_ADENO.gz	C18	gs://pan-ukbb-refinery/lifted/icd10-C18-both_sexes.tsv.bgz.lifted.gz
		C18	gs://pan-ukbb-refinery/lifted/icd10-C18-both_sexes.tsv.bgz.lifted.gz
C3_CONNECTIVE_SOFT_NAS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_CONNECTIVE_SOFT_NAS.gz	C49	gs://pan-ukbb-refinery/lifted/icd10-C49-both_sexes.tsv.bgz.lifted.gz
C3_CORPUS_UTERI	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_CORPUS_UTERI.gz	C54	gs://pan-ukbb-refinery/lifted/icd10-C54-both_sexes.tsv.bgz.lifted.gz
C3_DIGESTIVE_ORGANS_NAS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_DIGESTIVE_ORGANS_NAS.gz	C26	gs://pan-ukbb-refinery/lifted/icd10-C26-both_sexes.tsv.bgz.lifted.gz
C3_EYE_ADNEXA	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_EYE_ADNEXA.gz	C69	gs://pan-ukbb-refinery/lifted/icd10-C69-both_sexes.tsv.bgz.lifted.gz
C3_FEMALE_GENITAL_NAS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_FEMALE_GENITAL_NAS.gz	C57	gs://pan-ukbb-refinery/lifted/icd10-C57-both_sexes.tsv.bgz.lifted.gz
C3_GBM	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_GBM.gz	191.11	gs://pan-ukbb-refinery/lifted/phecode-191.11-both_sexes.tsv.bgz.lifted.gz
		191.11	gs://pan-ukbb-refinery/lifted/phecode-191.11-both_sexes.tsv.bgz.lifted.gz
C3_KIDNEY_NOTRENALPELVIS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_KIDNEY_NOTRENALPELVIS.gz	189.11	gs://pan-ukbb-refinery/lifted/phecode-189.11-both_sexes.tsv.bgz.lifted.gz
C3_LARYNX	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_LARYNX.gz	C32	gs://pan-ukbb-refinery/lifted/icd10-C32-both_sexes.tsv.bgz.lifted.gz
C3_LIVER_INTRAHEPATIC_BILE_DUCTS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_LIVER_INTRAHEPATIC_BILE_DUCTS.gz	C22	gs://pan-ukbb-refinery/lifted/icd10-C22-both_sexes.tsv.bgz.lifted.gz
C3_LYMPHNODES_SECONDARY_NAS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_LYMPHNODES_SECONDARY_NAS.gz	198.1	gs://pan-ukbb-refinery/lifted/phecode-198.1-both_sexes.tsv.bgz.lifted.gz
		191.11	gs://pan-ukbb-refinery/lifted/phecode-191.11-both_sexes.tsv.bgz.lifted.gz
C3_MELANOMA_SKIN	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_MELANOMA_SKIN.gz	C43	gs://pan-ukbb-refinery/lifted/icd10-C43-both_sexes.tsv.bgz.lifted.gz
C3_MESOTHELIOMA	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_MESOTHELIOMA.gz	C45	gs://pan-ukbb-refinery/lifted/icd10-C45-both_sexes.tsv.bgz.lifted.gz
		C34	gs://pan-ukbb-refinery/lifted/icd10-C34-both_sexes.tsv.bgz.lifted.gz
C3_NSCLC_ADENO	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_NSCLC_ADENO.gz	C34	gs://pan-ukbb-refinery/lifted/icd10-C34-both_sexes.tsv.bgz.lifted.gz
C3_NSCLC_SQUAM	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_NSCLC_SQUAM.gz	C34	gs://pan-ukbb-refinery/lifted/icd10-C34-both_sexes.tsv.bgz.lifted.gz
C3_OESOPHAGUS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_OESOPHAGUS.gz	C15	gs://pan-ukbb-refinery/lifted/icd10-C15-both_sexes.tsv.bgz.lifted.gz
		C76	gs://pan-ukbb-refinery/lifted/icd10-C76-both_sexes.tsv.bgz.lifted.gz
C3_OTHER_SKIN	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_OTHER_SKIN.gz	172.2	gs://pan-ukbb-refinery/lifted/phecode-172.2-both_sexes.tsv.bgz.lifted.gz
C3_OVARY	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_OVARY.gz	184.11	gs://pan-ukbb-refinery/lifted/phecode-184.11-females.tsv.bgz.lifted.gz
C3_PANCREAS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_PANCREAS.gz	157	gs://pan-ukbb-refinery/lifted/phecode-157-both_sexes.tsv.bgz.lifted.gz
C3_RETROPERITONEUM_PERITONEUM	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_RETROPERITONEUM_PERITONEUM.gz	C48	gs://pan-ukbb-refinery/lifted/icd10-C48-both_sexes.tsv.bgz.lifted.gz
C3_SCLC	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_SCLC.gz	C34	gs://pan-ukbb-refinery/lifted/icd10-C34-both_sexes.tsv.bgz.lifted.gz
C3_SECONDARY_NAS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_SECONDARY_NAS.gz	C79	gs://pan-ukbb-refinery/lifted/icd10-C79-both_sexes.tsv.bgz.lifted.gz
C3_SECONDARY_RESPIRATORY_DIGESTIVE	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_SECONDARY_RESPIRATORY_DIGESTIVE.gz	C78	gs://pan-ukbb-refinery/lifted/icd10-C78-both_sexes.tsv.bgz.lifted.gz
C3_SECONDARY_WITHOUT_SITESPEC	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_SECONDARY_WITHOUT_SITESPEC.gz	C80	gs://pan-ukbb-refinery/lifted/icd10-C80-both_sexes.tsv.bgz.lifted.gz
C3_SMALL_INTESTINE	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_SMALL_INTESTINE.gz	C17	gs://pan-ukbb-refinery/lifted/icd10-C17-both_sexes.tsv.bgz.lifted.gz
C3_STOMACH	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_STOMACH.gz	C16	gs://pan-ukbb-refinery/lifted/icd10-C16-both_sexes.tsv.bgz.lifted.gz
C3_TESTIS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_TESTIS.gz	187.2	gs://pan-ukbb-refinery/lifted/phecode-187.2-males.tsv.bgz.lifted.gz
C3_THYROID_GLAND	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_THYROID_GLAND.gz	193	gs://pan-ukbb-refinery/lifted/phecode-193-both_sexes.tsv.bgz.lifted.gz
		145.2	gs://pan-ukbb-refinery/lifted/phecode-145.2-both_sexes.tsv.bgz.lifted.gz
		C02	gs://pan-ukbb-refinery/lifted/icd10-C02-both_sexes.tsv.bgz.lifted.gz
		C09	gs://pan-ukbb-refinery/lifted/icd10-C09-both_sexes.tsv.bgz.lifted.gz
C3_VULVA	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_VULVA.gz	C51	gs://pan-ukbb-refinery/lifted/icd10-C51-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_ADRENAL	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_ADRENAL.gz	227.1	gs://pan-ukbb-refinery/lifted/phecode-227.1-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_BONE_CARTILAGE	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_BONE_CARTILAGE.gz	213	gs://pan-ukbb-refinery/lifted/phecode-213-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_BRAIN_CNS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_BRAIN_CNS.gz	D33	gs://pan-ukbb-refinery/lifted/icd10-D33-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_BREAST	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_BREAST.gz	610.4	gs://pan-ukbb-refinery/lifted/phecode-610.4-females.tsv.bgz.lifted.gz
CD2_BENIGN_COLORECANI	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_COLORECANI.gz	D12	gs://pan-ukbb-refinery/lifted/icd10-D12-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_CONNECTIVE_SOFT	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_CONNECTIVE_SOFT.gz	D21	gs://pan-ukbb-refinery/lifted/icd10-D21-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_EAR_RESP	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_EAR_RESP.gz	D14	gs://pan-ukbb-refinery/lifted/icd10-D14-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_ENDOCRINE_OTH	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_ENDOCRINE_OTH.gz	227	gs://pan-ukbb-refinery/lifted/phecode-227-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_EYE	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_EYE.gz	224	gs://pan-ukbb-refinery/lifted/phecode-224-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_FEMALE_GEN_OTH	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_FEMALE_GEN_OTH.gz	221	gs://pan-ukbb-refinery/lifted/phecode-221-females.tsv.bgz.lifted.gz
CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA.gz	228	gs://pan-ukbb-refinery/lifted/phecode-228-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_LEIOMYOMA_UTERI	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_LEIOMYOMA_UTERI.gz	218.1	gs://pan-ukbb-refinery/lifted/phecode-218.1-females.tsv.bgz.lifted.gz
CD2_BENIGN_LIPOMATOUS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_LIPOMATOUS.gz	214	gs://pan-ukbb-refinery/lifted/phecode-214-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_MALE_GEN	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_MALE_GEN.gz	222	gs://pan-ukbb-refinery/lifted/phecode-222-males.tsv.bgz.lifted.gz
CD2_BENIGN_MELANOCYTIC	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_MELANOCYTIC.gz	D22	gs://pan-ukbb-refinery/lifted/icd10-D22-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_MENINGES	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_MENINGES.gz	D32	gs://pan-ukbb-refinery/lifted/icd10-D32-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_MOUTH_PHARYNX	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_MOUTH_PHARYNX.gz	D10	gs://pan-ukbb-refinery/lifted/icd10-D10-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_OTHERDIGESTIVE	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_OTHERDIGESTIVE.gz	D13	gs://pan-ukbb-refinery/lifted/icd10-D13-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_OTHER_NOS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_OTHER_NOS.gz	D36	gs://pan-ukbb-refinery/lifted/icd10-D36-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_OVARY	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_OVARY.gz	220	gs://pan-ukbb-refinery/lifted/phecode-220-females.tsv.bgz.lifted.gz
CD2_BENIGN_PARATHYROID	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_PARATHYROID.gz	227.2	gs://pan-ukbb-refinery/lifted/phecode-227.2-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_PITUITARY_CRANIPHAR	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_PITUITARY_CRANIPHAR.gz	227.3	gs://pan-ukbb-refinery/lifted/phecode-227.3-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_SALIVARY	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_SALIVARY.gz	D11	gs://pan-ukbb-refinery/lifted/icd10-D11-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_SKIN	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_SKIN.gz	D23	gs://pan-ukbb-refinery/lifted/icd10-D23-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_THYROID	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_THYROID.gz	226	gs://pan-ukbb-refinery/lifted/phecode-226-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_URINARY	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_URINARY.gz	223	gs://pan-ukbb-refinery/lifted/phecode-223-both_sexes.tsv.bgz.lifted.gz
CD2_BENIGN_UTERUS_OTH	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_BENIGN_UTERUS_OTH.gz	218.2	gs://pan-ukbb-refinery/lifted/phecode-218.2-females.tsv.bgz.lifted.gz
CD2_FOLLICULAR_LYMPHOMA	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_FOLLICULAR_LYMPHOMA.gz	202.21	gs://pan-ukbb-refinery/lifted/phecode-202.21-both_sexes.tsv.bgz.lifted.gz
CD2_HODGKIN_LYMPHOMA	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_HODGKIN_LYMPHOMA.gz	201	gs://pan-ukbb-refinery/lifted/phecode-201-both_sexes.tsv.bgz.lifted.gz
CD2_IMMUNOPROLIFERATIVE	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_IMMUNOPROLIFERATIVE.gz	C88	gs://pan-ukbb-refinery/lifted/icd10-C88-both_sexes.tsv.bgz.lifted.gz
CD2_INSITU_BREAST	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_INSITU_BREAST.gz	D05	gs://pan-ukbb-refinery/lifted/icd10-D05-both_sexes.tsv.bgz.lifted.gz
CD2_INSITU_CERVIX_UTERI	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_INSITU_CERVIX_UTERI.gz	D06	gs://pan-ukbb-refinery/lifted/icd10-D06-both_sexes.tsv.bgz.lifted.gz
CD2_INSITU_GENITAL	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_CD2_INSITU_GENITAL.gz	D07	gs://pan-ukbb-refinery/lifted/icd10-D07-both_sexes.tsv.bgz.lifted.gz
